Restaurant_latitude,Restaurant_longitude
22.745049,75.892471
12.913041,77.683237
12.914264,77.6784
11.003669,76.976494
12.972793,80.249982
17.431668,78.408321
23.369746,85.33982
12.352058,76.60665
17.433809,78.386744
30.327968,78.046106
10.003064,76.307589
18.56245,73.916619
30.899584,75.809346
26.463504,80.372929
19.176269,72.836721
12.311072,76.654878
18.592718,73.773572
17.426228,78.407495
22.552672,88.352885
18.563934,73.915367
23.357804,85.325146
12.986047,80.218114
19.221315,72.862381
13.005801,80.250744
26.849596,75.800512
21.160522,72.771477
12.934179,77.615797
18.51421,73.838429
11.022477,76.995667
21.160437,72.774209
15.51315,73.78346
15.561295,73.749478
0,0
18.55144,73.804855
18.593481,73.785901
21.173343,72.792731
17.451976,78.385883
12.972532,77.608179
13.064181,80.236442
19.121999,72.908493
21.149569,72.772697
19.091458,72.827808
22.539129,88.365507
12.970324,77.645748
21.175975,72.795503
11.003681,76.975525
10.96185,76.971082
27.165108,78.015053
26.88842,75.800689
26.913987,75.752891
12.3085,76.665808
21.183434,72.814492
19.254567,72.848923
25.449659,81.839744
30.372202,78.077151
21.157735,72.768778
21.186438,72.794115
12.935662,77.61413
17.431477,78.40035
12.933298,77.614293
22.311358,73.164798
12.934365,77.616155
13.086438,80.220672
26.913483,75.803139
17.411028,78.329645
18.516216,73.842527
15.5696,73.742294
19.876428,75.364792
12.939496,77.625999
23.374878,85.335739
-27.163303,78.057044
22.74806,75.8934
26.891191,75.802083
12.316967,76.603067
18.927584,72.832585
11.022298,76.998349
12.325461,76.632278
18.530963,73.828972
17.458998,78.500366
19.1813,72.836191
22.727021,75.884167
12.979166,77.640709
18.994237,72.825553
12.284747,76.625861
11.000762,76.981876
26.479108,80.315042
21.175104,72.804342
12.975377,77.696664
23.359194,85.325447
12.297954,76.665169
23.359407,85.325055
23.416792,85.316842
26.892312,75.806896
22.31279,73.170283
22.761593,75.886362
11.026117,76.944652
26.483042,80.317833
23.359033,85.325347
22.569358,88.433452
21.157729,72.768726
22.311603,73.165012
18.536562,73.896485
22.745536,75.893106
18.543626,73.905101
17.41233,78.449654
21.17106,72.789292
21.186884,72.793616
19.065838,72.832658
12.98041,77.640489
12.310972,76.659264
11.025083,77.015393
22.538731,88.364878
11.001753,76.986241
22.310237,73.158921
22.725748,75.898497
17.450851,78.379347
13.081878,80.248519
10.035573,76.336958
22.308096,73.167753
12.975996,80.221898
19.178321,72.834715
26.910262,75.783013
25.443994,81.860187
12.321214,76.621094
19.055831,72.833984
12.337928,76.617889
23.351489,85.324253
22.728163,75.884212
13.026286,80.275235
26.766536,75.837333
21.149834,72.778666
21.149669,72.772629
26.482581,80.315628
26.911378,75.789034
13.02978,80.208812
12.323194,76.630583
22.569367,88.433187
12.949934,77.699386
22.725835,75.887648
30.89286,75.822199
12.933284,77.615428
17.429585,78.392621
12.978453,77.643685
13.044694,80.26147
26.846156,75.8023
26.911927,75.797282
10.020683,76.310631
15.585658,73.743606
22.310526,73.170937
19.103249,72.846749
26.471617,80.313564
19.866969,75.318894
12.906229,77.596791
22.751857,75.866699
11.010375,76.95295
17.483216,78.552111
27.160934,78.044095
11.006686,76.951736
25.457687,81.835585
19.12663,72.829976
19.875016,75.322405
18.536718,73.830327
13.026279,80.174568
17.455894,78.375467
13.054347,80.257221
12.979096,77.640625
27.163303,78.057044
26.482419,80.320939
22.307898,73.167788
27.160832,78.011608
10.027014,76.308053
30.890184,75.829615
21.15276,72.778059
22.753839,75.897429
19.876106,75.340775
30.328174,78.049117
13.058616,80.264151
-27.165108,78.015053
21.170096,72.789122
30.905562,75.832841
-18.55144,-73.804855
26.902328,75.794257
26.90519,75.810753
